# this list was generated by filtering down this list
# https://github.com/hyperreality/American-British-English-Translator/blob/master/data/american_spellings.json
# to only words where one side of the mapping occured more than 10 times in OSM name tags
accessorize,accessorise
eon,aeon
airplane,aeroplane
esthetic,aesthetic
esthetics,aesthetics
aging,ageing
almanac,almanack
aluminum,aluminium
amphitheater,amphitheatre
analog,analogue
analyze,analyse
analyzes,analyses
arbor,arbour
arbors,arbours
archeological,archaeological
archeology,archaeology
ardor,ardour
armor,armour
armored,armoured
armories,armouries
armory,armoury
artifact,artefact
artifacts,artefacts
authorized,authorised
ax,axe
banister,bannister
banisters,bannisters
baptize,baptise
baptized,baptised
balk,baulk
behavior,behaviour
behavioral,behavioural
bevy,bevvy
bougainvillea,bougainvillaea
busses,buses
bussing,busing
caliber,calibre
caliper,calliper
calisthenics,callisthenics
candor,candour
catalog,catalogue
centralized,centralised
center,centre
centered,centred
centers,centres
checkered,chequered
chili,chilli
chimera,chimaera
clamor,clamour
colonization,colonisation
color,colour
colored,coloured
colorful,colourful
colors,colours
computerized,computerised
connection,connexion
connections,connexions
cozy,cosy
councilor,councillor
councilors,councillors
counseling,counselling
counselor,counsellor
counselors,counsellors
customize,customise
customized,customised
defense,defence
defenses,defences
dialog,dialogue
digitized,digitised
disk,disc
disks,discs
draft,draught
drafts,draughts
dueling,duelling
edema,edoema
endeavor,endeavour
endeavors,endeavours
epicenter,epicentre
equalization,equalisation
favor,favour
favorite,favourite
favorites,favourites
favors,favours
fertilizer,fertiliser
fertilizers,fertilisers
fiber,fibre
fiberglass,fibreglass
fibers,fibres
filet,fillet
filets,fillets
flavor,flavour
flavors,flavours
fetal,foetal
fulfillment,fulfilment
gasses,gases
gage,gauge
gages,gauges
gaging,gauging
gypsies,gipsies
glamor,glamour
goiter,goitre
gram,gramme
grams,grammes
gray,grey
grays,greys
groin,groyne
griffin,gryphon
griffins,gryphons
gynecologist,gynaecologist
gynecology,gynaecology
hematology,haematology
harbor,harbour
harbors,harbours
homeopathic,homoeopathic
homeopathy,homoeopathy
honor,honour
honorable,honourable
honors,honours
hospitalization,hospitalisation
humor,humour
immunization,immunisation
install,instal
jeweler,jeweller
jewelers,jewellers
jewelry,jewellery
judgment,judgement
kilometer,kilometre
labor,labour
laborers,labourers
laboring,labouring
labors,labours
license,licence
licensed,licenced
licensing,licencing
liter,litre
liters,litres
louver,louvre
louvers,louvres
luster,lustre
maneuver,manoeuvre
maneuvers,manoeuvres
marshaling,marshalling
marvelous,marvellous
meager,meagre
mechanized,mechanised
medieval,mediaeval
meter,metre
meters,metres
minibusses,minibuses
miter,mitre
modelers,modellers
modeling,modelling
motorized,motorised
mold,mould
molder,moulder
molders,moulders
molding,moulding
moldings,mouldings
molds,moulds
molt,moult
mustache,moustache
naturalization,naturalisation
neighbor,neighbour
neighborhood,neighbourhood
neighborhoods,neighbourhoods
neighborly,neighbourly
neighbors,neighbours
odor,odour
omelet,omelette
organization,organisation
organizational,organisational
organizations,organisations
organize,organise
organized,organised
orthopedic,orthopaedic
orthopedics,orthopaedics
pediatric,paediatric
pediatrician,paediatrician
pediatrics,paediatrics
paleontology,palaeontology
parceling,parcelling
parlor,parlour
personalized,personalised
filter,philtre
filters,philtres
plow,plough
plowed,ploughed
plowing,ploughing
plowman,ploughman
plowshare,ploughshare
practice,practise
practices,practises
practicing,practising
primeval,primaeval
program,programme
programs,programmes
prolog,prologue
psychoanalyze,psychoanalyse
pajama,pyjama
pizzazz,pzazz
realization,realisation
refueling,refuelling
remodeling,remodelling
reorganized,reorganised
reveler,reveller
revitalize,revitalise
rigor,rigour
rumor,rumour
rumors,rumours
saber,sabre
sabers,sabres
saltpeter,saltpetre
savior,saviour
saviors,saviours
savor,savour
savory,savoury
scepter,sceptre
sepulcher,sepulchre
sheik,sheikh
signaling,signalling
smolders,smoulders
snorkeling,snorkelling
somber,sombre
specialized,specialised
specter,spectre
splendor,splendour
stabilization,stabilisation
succor,succour
sulfide,sulphide
sulfur,sulphur
siphon,syphon
technicolor,technicolour
theater,theatre
theaters,theatres
ton,tonne
tons,tonnes
tranquility,tranquilly
traveled,travelled
traveler,traveller
travelers,travellers
traveling,travelling
tricolor,tricolour
tire,tyre
tires,tyres
unorganized,unorganised
valor,valour
vaporized,vaporised
vapor,vapour
vapors,vapours
vigor,vigour
watercolor,watercolour
watercolors,watercolours
woolen,woollen
wooly,woolly
yogurt,yoghurt
