alley, aly
annex, anx
avenue, ave
bayou, byu
beach, bch
bend, bnd
bluff, blf
bluffs, blfs
bottom, btm
boulevard, blvd
branch, br
bridge, brg
brook, brk
bypass, byp
canyon, cyn
cape, cp
causeway, cswy
center, ctr
channel, chnnl
circle, cir
cliff, clf
close, cl
club, clb
common, cmn
commons, cmns
connector, con
corridor, cor
course, crse
court, ct
cove, cv
creek, crk
crescent, cres
crest, crst
crossing, xing
crossroad, xrd
crossroads, xrds
curve, curv
dale, dl
dam, dm
drive, dr
esplanade, esp
expressway, expy
extended, ext
falls, fls
ferry, fry
field, fld
fields, flds
flat, flt
flats, flts
ford, frd
forest, frst
forge, frg
fork, frk
forks, frks
freeway, fwy
garden, gdn
gardens, gdns
gateway, gtwy
glen, gln
glenn, gln
green, grn
grove, grv
harbor, hbr
haven, hvn
heights, hts
highway, hwy
hill, hl
hills, hls
hollow, holw
isle, is
junction, jct
key, ky
keys, kys
knoll, knl
knolls, knls
landing, lndg
lane, ln
light, lgt
lights, lgts
lock, lck
locks, lcks
manor, mnr
meadow, mdw
meadows, mdws
mill, ml
mills, mls
mountain, mnt
motorway, mtwy
neck, nck
orchard, orch
parkway, pkwy
pasage, psge
pier, pr
pine, pne
pines, pnes
place, pl
plaza, plz
ranch, rnch
ridge, rdg
ridges, rdgs
river, riv
road, rd
route, rte
shore, shr
shores, shrs
skyway, skwy
spring, spg
springs, spgs
square, sq
street, st
suite, ste
terrace, terr
trail, tr
trafficway, trfy
tunnel, tunl
turnpike, tpke
valley, vly
vista, vis
village, vlg
way, wy
